"Col1","Col2","Col3","Col4","Col5","Col6","Col7","Col8","Col9","Col10","Col11","Col12","Col13","Platform"
"2004_wctv G01700 Feb 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Appropriations Budget Activity/Serial Number",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Procurement of W&TCV, Army /2/ Weapons and Other Combat Vehicles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
NA,"Prior Years","FY 2001","FY 2002","FY 2003","FY 2004","FY 2005","FY 2006","FY 2007","FY 2008","FY 2009","To Complete","Total Program","LW155 M777"
"Proc Qty",NA,NA,NA,NA,NA,"28","56","88","38","23","40","271","LW155 M777"
"Gross Cost",NA,NA,"1.1",NA,"5","51.1","100.7","135.8","59","33.6","74.3","460.7","LW155 M777"
"Less PY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Plus CY Adv Proc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Net Proc",NA,NA,"1.1",NA,"5","51.1","100.7","135.8","59","33.6","74.3","460.7","LW155 M777"
"Initial Spares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Total Proc Cost",NA,NA,"1.1",NA,"5","51.1","100.7","135.8","59","33.6","74.3","460.7","LW155 M777"
"Flyaway U/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LW155 M777"
"Wpn SysProc U/C",NA,NA,NA,NA,NA,"1.8","1.8","1.5","1.6","1.5","1.9",NA,"LW155 M777"
