"Description","Year1","Year2","Year3","FirstYearInSequence","Platform","Source","Agency","BudgetActivity"
"IBR","1Q",NA,NA,"2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Trade Study / Downselect","1Q",NA,NA,"2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Software Requirements Definition","2Q",NA,NA,"2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Preliminary Design","2Q - 4Q",NA,NA,"2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Preliminary Design Review",NA,"1Q",NA,"2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Detailed Design",NA,"1Q - 4Q",NA,"2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Component Qualification Testing",NA,NA,"1Q - 2Q","2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Coding and Unit Test",NA,NA,"2Q - 3Q","2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Coding Complete",NA,NA,"3Q","2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Integration and Engineering Evaluation Test",NA,NA,"3Q - 4Q","2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
"Software Formal Qualification Test",NA,NA,"4Q","2008","LW155 M777","2009","Army","RDT&E Budget Activity  5 - Engineering and Manufacturing Development"
