"","Total.Acquisition.Cost.and.Quantity...Total.Program","X.","X..1","X..2","X..3","X..4","X..5","X..6"
"39","Total Acquisition Cost and Quantity - Missile",NA,NA,NA,NA,NA,NA,NA
"40",NA,"BY2004 $M",NA,NA,NA,"TY $M",NA,NA
"41","Appropriation","SAR Baseline Dev Est","Current APB Development Objective/Threshold",NA,"Current Estimate","SAR Baseline Dev Est","Current APB Development Objective ","Current Estimate"
"42",NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA
"44","RDT&E","460.9","460.9","530","701.9","482","482","785.3"
"45","Procurement","5760","5760","6336","5908.6","7574","7574","8718.6"
"46","Flyaway ","--","--","--","0","--","--","7972.8"
"47","Recurring","--","--","--","0","--","--","7889.6"
"48","Non Recurring","--","--","--","0","--","--","83.2"
"49","Support","--","--","--","0","--","--","745.8"
"50","Other Support","--","--","--","0","--","--","745.8"
"51","Initial Spares","--","--","--","0","--","--","0"
"52","MILCON","0","0","--","0","0","0","0"
"53","Acq O&M","0","0","--","0","0","0","0"
"54","Total","6220.9","6220.9","N/A","6610.5","8056","8056","9503.9"
