Contract.Size,Contract.Size.detail,Contract.Size.sum,Contract.Size.Graph
Deobligation,Deobligation,Deobligation,FALSE
Zero value,Zero value,Zero value,FALSE
Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,TRUE
$250 thousand - <$1 million,"$250,000 - <$1 million","$250,000 - <$1 million",TRUE
$1 - <$5 million,$1 - <$5 million,$1 - <$25 million,TRUE
$5 - <$25 million,$5 - <$25 million,$1 - <$25 million,TRUE
$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,TRUE
$100 - <$500 million,$100 - <$500 million,$100 - <$500 million,TRUE
Greater than $500 million,$500 million and greater,$500 million and greater,TRUE
Unlabeled,Unlabeled,Unlabeled,FALSE
